id,msa,date,new_cases,total_cases,total_deaths,death_percentage,population,msa filename,vaccination rate
10,"Houston-The Woodlands-Sugar Land, TX Metro Area",9/21/2020,14300,107672,1071,0.99,6482592,"Houston-The Woodlands-Sugar Land, TX Metro Area.csv",0
13,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",10/5/2020,11045,108197,1428,1.32,5612777,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area.csv",0
12,"Phoenix-Mesa-Chandler, AZ Metro Area",12/8/2020,10321,349968,5683,1.62,4486153,"Phoenix-Mesa-Chandler, AZ Metro Area.csv",0
5,"Dallas-Fort Worth-Arlington, TX Metro Area",12/11/2020,12974,468521,5543,1.18,6894233,"Dallas-Fort Worth-Arlington, TX Metro Area.csv",0
2,"Los Angeles-Long Beach-Anaheim, CA Metro Area",12/16/2020,25475,1014725,16836,1.66,13186502,"Los Angeles-Long Beach-Anaheim, CA Metro Area.csv",0
16,"Riverside-San Bernardino-Ontario, CA Metro Area",12/16/2020,16133,417942,5111,1.22,4430646,"Riverside-San Bernardino-Ontario, CA Metro Area.csv",0
1,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",1/4/2021,39015,597892,6181,1.03,19352443,"New York-Newark-Jersey City, NY-NJ-PA Metro Area.csv",0
25,"Kansas City, MO-KS Metro Area",3/8/2021,10091,25759,346,1.34,2070147,"Kansas City, MO-KS Metro Area.csv",0.084
22,"San Diego-Chula Vista-Carlsbad, CA Metro Area",7/1/2021,15453,67893,274,0.4,3253356,"San Diego-Chula Vista-Carlsbad, CA Metro Area.csv",0.561
8,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",7/16/2021,13285,300693,4525,1.5,5923746,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area.csv",0.538
18,"Tampa-St. Petersburg-Clearwater, FL Metro Area",7/23/2021,10179,176329,3131,1.78,2924883,"Tampa-St. Petersburg-Clearwater, FL Metro Area.csv",0.45
50,"Jacksonville, FL Metro Area",7/30/2021,12610,96119,2058,2.14,1424097,"Jacksonville, FL Metro Area.csv",0.422
46,"Orlando-Kissimmee-Sanford, FL Metro Area",7/30/2021,14473,145398,2044,1.41,2328508,"Orlando-Kissimmee-Sanford, FL Metro Area.csv",0.496
13,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",9/7/2021,12019,199421,2768,1.39,5612777,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area.csv",0.246
6,"Detroit-Warren-Dearborn, MI Metro Area",11/29/2021,11867,416458,4208,1.01,4296731,"Detroit-Warren-Dearborn, MI Metro Area.csv",0.541
8,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",12/17/2021,18632,851664,2818,0.33,5923746,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area.csv",0.715
3,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",12/20/2021,24921,839254,4532,0.54,9525767,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area.csv",0.655
46,"Orlando-Kissimmee-Sanford, FL Metro Area",12/24/2021,10780,246649,1025,0.42,2328508,"Orlando-Kissimmee-Sanford, FL Metro Area.csv",0.642
1,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",12/26/2021,33497,1184540,4613,0.39,19352443,"New York-Newark-Jersey City, NY-NJ-PA Metro Area.csv",0.596
2,"Los Angeles-Long Beach-Anaheim, CA Metro Area",12/26/2021,20794,1511684,5039,0.33,13186502,"Los Angeles-Long Beach-Anaheim, CA Metro Area.csv",0.692
13,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",12/27/2021,20652,440165,2554,0.58,5612777,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area.csv",0.311
7,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",12/27/2021,18725,485903,1925,0.4,6024874,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area.csv",0.687
14,"Seattle-Tacoma-Bellevue, WA Metro Area",12/27/2021,14291,352754,1170,0.33,3669879,"Seattle-Tacoma-Bellevue, WA Metro Area.csv",0.709
10,"Houston-The Woodlands-Sugar Land, TX Metro Area",12/27/2021,27600,597767,1792,0.3,6482592,"Houston-The Woodlands-Sugar Land, TX Metro Area.csv",0.588
20,"Baltimore-Columbia-Towson, MD Metro Area",12/28/2021,37603,175768,1607,0.91,2780873,"Baltimore-Columbia-Towson, MD Metro Area.csv",0.683
4,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",12/29/2021,10419,485175,2952,0.61,6047721,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area.csv",0.617
18,"Tampa-St. Petersburg-Clearwater, FL Metro Area",12/31/2021,26202,249969,1509,0.6,2924883,"Tampa-St. Petersburg-Clearwater, FL Metro Area.csv",0.589
50,"Jacksonville, FL Metro Area",12/31/2021,11803,134300,756,0.56,1424097,"Jacksonville, FL Metro Area.csv",0.575
31,"Las Vegas-Henderson-Paradise, NV Metro Area",1/3/2022,12004,156721,1328,0.85,2070153,"Las Vegas-Henderson-Paradise, NV Metro Area.csv",0.535
33,"Indianapolis-Carmel-Anderson, IN Metro Area",1/3/2022,12748,175559,1232,0.7,1968768,"Indianapolis-Carmel-Anderson, IN Metro Area.csv",0.572
17,"St. Louis, MO-IL Metro Area",1/3/2022,12276,240388,1455,0.61,2803449,"St. Louis, MO-IL Metro Area.csv",0.564
5,"Dallas-Fort Worth-Arlington, TX Metro Area",1/3/2022,39672,538186,2879,0.53,6894233,"Dallas-Fort Worth-Arlington, TX Metro Area.csv",0.558
39,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1/3/2022,12774,182958,928,0.51,1770319,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area.csv",0.554
27,"Charlotte-Concord-Gastonia, NC-SC Metro Area",1/3/2022,12046,259401,952,0.37,2407035,"Charlotte-Concord-Gastonia, NC-SC Metro Area.csv",0.537
